Şimdi,Tarih
2882.32,2017-01-23 00:00:00
2855.84,2017-01-20 00:00:00
2848.21,2017-01-19 00:00:00
2871.83,2017-01-18 00:00:00
2843.56,2017-01-17 00:00:00
2803.74,2017-01-16 00:00:00
2777.41,2017-01-13 00:00:00
2747.05,2017-12-01 00:00:00
2713.89,2017-11-01 00:00:00
2732.67,2017-10-01 00:00:00
2739.4,2017-09-01 00:00:00
2729.35,2017-06-01 00:00:00
2696.86,2017-05-01 00:00:00
2697.51,2017-04-01 00:00:00
2724.02,2017-03-01 00:00:00
2766,2017-02-01 00:00:00
2769.86,2016-12-30 00:00:00
2765.41,2016-12-29 00:00:00
2730.68,2016-12-28 00:00:00
2702.65,2016-12-27 00:00:00
2690.72,2016-12-26 00:00:00
2652.01,2016-12-23 00:00:00
2656.1,2016-12-22 00:00:00
2668.7,2016-12-21 00:00:00
2655.4,2016-12-20 00:00:00
2673.81,2016-12-19 00:00:00
2678.8,2016-12-16 00:00:00
2697.24,2016-12-15 00:00:00
2643.51,2016-12-14 00:00:00
2646.67,2016-12-13 00:00:00
2625.29,2016-12-12 00:00:00
2574.8,2016-09-12 00:00:00
2561.62,2016-08-12 00:00:00
2572.62,2016-07-12 00:00:00
2554.22,2016-06-12 00:00:00
2482.94,2016-05-12 00:00:00
2481.85,2016-02-12 00:00:00
2507.03,2016-01-12 00:00:00
2575.72,2016-11-30 00:00:00
2583.88,2016-11-29 00:00:00
2615.79,2016-11-28 00:00:00
2606.75,2016-11-25 00:00:00
2597.28,2016-11-24 00:00:00
2634.55,2016-11-23 00:00:00
2671.48,2016-11-22 00:00:00
2690.35,2016-11-21 00:00:00
2707.59,2016-11-18 00:00:00
2705.34,2016-11-17 00:00:00
2664.44,2016-11-16 00:00:00
2650.64,2016-11-15 00:00:00
2636.41,2016-11-14 00:00:00
2648.68,2016-11-11 00:00:00
2691.01,2016-10-11 00:00:00
2671.08,2016-09-11 00:00:00
2662.18,2016-08-11 00:00:00
2661.84,2016-07-11 00:00:00
2609.82,2016-04-11 00:00:00
2716.73,2016-03-11 00:00:00
2709.9,2016-02-11 00:00:00
2697.92,2016-01-11 00:00:00
2755.24,2016-10-31 00:00:00
2743,2016-10-28 00:00:00
2776.78,2016-10-27 00:00:00
2744.94,2016-10-26 00:00:00
2729.83,2016-10-25 00:00:00
2765.91,2016-10-24 00:00:00
2755.04,2016-10-21 00:00:00
2749.18,2016-10-20 00:00:00
2747.52,2016-10-19 00:00:00
2733.85,2016-10-18 00:00:00
2722.24,2016-10-17 00:00:00
2717.36,2016-10-14 00:00:00
2672.45,2016-10-13 00:00:00
2708.67,2016-12-10 00:00:00
2723.79,2016-11-10 00:00:00
2770.47,2016-10-10 00:00:00
2759.78,2016-07-10 00:00:00
2767.87,2016-06-10 00:00:00
2697.13,2016-05-10 00:00:00
2689.68,2016-04-10 00:00:00
2688.84,2016-03-10 00:00:00
2666.84,2016-09-30 00:00:00
2692.43,2016-09-29 00:00:00
2708.31,2016-09-28 00:00:00
2684.69,2016-09-27 00:00:00
2645.15,2016-09-26 00:00:00
2739.12,2016-09-23 00:00:00
2725.72,2016-09-22 00:00:00
2707.88,2016-09-21 00:00:00
2704.94,2016-09-20 00:00:00
2734.19,2016-09-19 00:00:00
2678.2,2016-09-16 00:00:00
2661.65,2016-09-09 00:00:00
2676.87,2016-08-09 00:00:00
2676.88,2016-07-09 00:00:00
2703.93,2016-06-09 00:00:00
2679.82,2016-05-09 00:00:00
2655.1,2016-02-09 00:00:00
2633.44,2016-01-09 00:00:00
2596.11,2016-08-31 00:00:00
2604.39,2016-08-29 00:00:00
2602.46,2016-08-26 00:00:00
2566.16,2016-08-25 00:00:00
2535.52,2016-08-24 00:00:00
2598.52,2016-08-23 00:00:00
2628.4,2016-08-22 00:00:00
2624.96,2016-08-19 00:00:00
2629.25,2016-08-18 00:00:00
2630.81,2016-08-17 00:00:00
2613.24,2016-08-16 00:00:00
2633.73,2016-08-15 00:00:00
2629.03,2016-12-08 00:00:00
2632.97,2016-11-08 00:00:00
2602.7,2016-10-08 00:00:00
2647.55,2016-09-08 00:00:00
2551.38,2016-08-08 00:00:00
2481.06,2016-05-08 00:00:00
2496.9,2016-04-08 00:00:00
2463.67,2016-03-08 00:00:00
2492.1,2016-02-08 00:00:00
2521.87,2016-01-08 00:00:00
2487.01,2016-07-29 00:00:00
2489.88,2016-07-28 00:00:00
2487.15,2016-07-27 00:00:00
